Crawler Type,Parallel Method,Workers,Decay Coefficient,Inheritance Coefficient,Time,Total Images,Total Scraped
Incremental,Threading,8,0.9,0.1,43200,19786,5584
Incremental,Threading,8,0.9,0.1,42900,19745,5533
Incremental,Threading,8,0.9,0.1,42600,19610,5504
Incremental,Threading,8,0.9,0.1,42300,19420,5472
Incremental,Threading,8,0.9,0.1,42000,19351,5448
Incremental,Threading,8,0.9,0.1,41700,19331,5424
Incremental,Threading,8,0.9,0.1,41400,19278,5392
Incremental,Threading,8,0.9,0.1,41100,19253,5368
Incremental,Threading,8,0.9,0.1,40800,19246,5352
Incremental,Threading,8,0.9,0.1,40500,19242,5320
Incremental,Threading,8,0.9,0.1,40200,19231,5296
Incremental,Threading,8,0.9,0.1,39900,19168,5272
Incremental,Threading,8,0.9,0.1,39600,19157,5248
Incremental,Threading,8,0.9,0.1,39300,19121,5216
Incremental,Threading,8,0.9,0.1,39000,19088,5192
Incremental,Threading,8,0.9,0.1,38700,18976,5160
Incremental,Threading,8,0.9,0.1,38400,18921,5128
Incremental,Threading,8,0.9,0.1,38100,18877,5112
Incremental,Threading,8,0.9,0.1,37800,18833,5080
Incremental,Threading,8,0.9,0.1,37500,18784,5056
Incremental,Threading,8,0.9,0.1,37200,18767,5040
Incremental,Threading,8,0.9,0.1,36900,18745,5008
Incremental,Threading,8,0.9,0.1,36600,18706,4984
Incremental,Threading,8,0.9,0.1,36300,18695,4968
Incremental,Threading,8,0.9,0.1,36000,18638,4936
Incremental,Threading,8,0.9,0.1,35700,18419,4888
Incremental,Threading,8,0.9,0.1,35400,18285,4848
Incremental,Threading,8,0.9,0.1,35100,18220,4792
Incremental,Threading,8,0.9,0.1,34800,18079,4736
Incremental,Threading,8,0.9,0.1,34500,18038,4680
Incremental,Threading,8,0.9,0.1,34200,18007,4648
Incremental,Threading,8,0.9,0.1,33900,18001,4592
Incremental,Threading,8,0.9,0.1,33600,17997,4552
Incremental,Threading,8,0.9,0.1,33300,17993,4496
Incremental,Threading,8,0.9,0.1,33000,17988,4464
Incremental,Threading,8,0.9,0.1,32700,17987,4416
Incremental,Threading,8,0.9,0.1,32400,17986,4384
Incremental,Threading,8,0.9,0.1,32100,17984,4336
Incremental,Threading,8,0.9,0.1,31800,17982,4320
Incremental,Threading,8,0.9,0.1,31500,17980,4272
Incremental,Threading,8,0.9,0.1,31200,17976,4240
Incremental,Threading,8,0.9,0.1,30900,17767,4200
Incremental,Threading,8,0.9,0.1,30600,17646,4168
Incremental,Threading,8,0.9,0.1,30300,17517,4128
Incremental,Threading,8,0.9,0.1,30000,17302,4096
Incremental,Threading,8,0.9,0.1,29700,17238,4056
Incremental,Threading,8,0.9,0.1,29400,17219,4016
Incremental,Threading,8,0.9,0.1,29100,17172,3968
Incremental,Threading,8,0.9,0.1,28800,17128,3936
Incremental,Threading,8,0.9,0.1,28500,17079,3920
Incremental,Threading,8,0.9,0.1,28200,16999,3888
Incremental,Threading,8,0.9,0.1,27900,16886,3856
Incremental,Threading,8,0.9,0.1,27600,16866,3840
Incremental,Threading,8,0.9,0.1,27300,16703,3808
Incremental,Threading,8,0.9,0.1,27000,16629,3784
Incremental,Threading,8,0.9,0.1,26700,16566,3760
Incremental,Threading,8,0.9,0.1,26400,16526,3736
Incremental,Threading,8,0.9,0.1,26100,16412,3704
Incremental,Threading,8,0.9,0.1,25800,16078,3696
Incremental,Threading,8,0.9,0.1,25500,15963,3672
Incremental,Threading,8,0.9,0.1,25200,15906,3640
Incremental,Threading,8,0.9,0.1,24900,15834,3616
Incremental,Threading,8,0.9,0.1,24600,15746,3592
Incremental,Threading,8,0.9,0.1,24300,15617,3568
Incremental,Threading,8,0.9,0.1,24000,15505,3536
Incremental,Threading,8,0.9,0.1,23700,15472,3512
Incremental,Threading,8,0.9,0.1,23400,15378,3480
Incremental,Threading,8,0.9,0.1,23100,15104,3464
Incremental,Threading,8,0.9,0.1,22800,15058,3440
Incremental,Threading,8,0.9,0.1,22500,14788,3408
Incremental,Threading,8,0.9,0.1,22200,14725,3368
Incremental,Threading,8,0.9,0.1,21900,14623,3344
Incremental,Threading,8,0.9,0.1,21600,14532,3320
Incremental,Threading,8,0.9,0.1,21300,14011,3304
Incremental,Threading,8,0.9,0.1,21000,13695,3272
Incremental,Threading,8,0.9,0.1,20700,13591,3232
Incremental,Threading,8,0.9,0.1,20400,13572,3208
